time,glucose
1679722860,95.0
1679723160,91.0
1679723460,92.0
1679723760,89.0
1679724060,80.0
1679724360,89.0
1679724660,101.0
1679724960,105.0
1679725260,105.0
1679725560,94.0
1679725860,83.0
1679726160,79.0
1679726460,71.0
1679726760,55.0
1679727060,66.0
1679727360,71.0
1679727660,73.0
1679727960,76.0
1679728260,81.0
1679728560,87.0
1679728860,83.0
1679729160,83.0
1679729460,78.0
1679729760,70.0
1679730060,76.0
1679730360,66.0
1679730660,57.0
1679730960,77.0
1679731260,87.0
1679731560,85.0
1679731860,84.0
1679732160,89.0
1679732460,90.0
1679732760,84.0
1679733060,84.0
1679733360,85.0
1679733660,86.0
1679733960,86.0
1679734260,88.0
1679734560,90.0
1679734860,91.0
1679735160,97.0
1679735460,104.0
1679735760,114.0
1679736060,129.0
1679736360,140.0
1679736660,142.0
1679736960,140.0
1679737260,131.0
1679737560,121.0
1679737860,114.0
1679738160,94.0
1679738460,83.0
1679738760,91.0
1679739060,74.0
1679739360,77.0
1679739660,80.0
1679739960,98.0
1679740260,105.0
1679740560,119.0
1679740860,129.0
1679741160,132.0
1679741460,124.0
1679741760,114.0
1679742060,107.0
1679742360,95.0
1679742660,89.0
1679742960,88.0
1679743260,90.0
1679743560,106.0
1679743860,108.0
1679744160,112.0
1679744460,113.0
1679744760,106.0
1679745060,105.0
1679745360,107.0
1679745660,101.0
1679745960,96.0
1679746260,98.0
1679746560,101.0
1679746860,101.0
1679747160,101.0
1679747460,104.0
1679747760,106.0
1679748060,105.0
1679748360,104.0
1679748660,100.0
1679748960,99.0
1679749260,99.0
1679749560,103.0
1679749860,103.0
1679750160,100.0
1679750460,95.0
1679750760,93.0
1679751060,94.0
1679751360,92.0
1679751660,91.0
1679751960,92.0
1679752260,93.0
1679752560,98.0
1679752860,101.0
1679753160,100.0
1679753460,103.0
1679753760,104.0
1679754060,101.0
1679754360,97.0
1679754660,97.0
1679754960,99.0
1679755260,95.0
1679755560,86.0
